4321, 1211122OP, 2001-05-30 00:00:00, NULL
4321, 5211122OT, 2004-05-30 00:00:00, NULL
4322, 2111122YV, 2004-05-30 00:00:00, NULL
4322, 1261122YV, 2005-05-30 00:00:00, NULL
4323, 1215122YX, 2005-05-30 00:00:00, NULL
4325, 1211422YY, 2005-05-30 00:00:00, NULL
4326, 1211332OX, 2006-05-30 00:00:00, NULL
4327, 5217122OT, 2006-05-30 00:00:00, NULL
4328, 5288882OT, 2006-05-30 00:00:00, NULL
4331, 5213332OT, 2007-05-30 00:00:00, NULL
4332, 5216666OT, 2007-05-30 00:00:00, NULL
4333, 1111111XX, 2008-05-30 00:00:00, NULL
4341, 9821381YX, 2008-05-30 00:00:00, NULL
4340, 9821382YX, 2009-05-30 00:00:00, NULL
4337, 9821383YX, 2009-05-30 00:00:00, NULL
4330, 9821384YX, 2010-05-30 00:00:00, NULL
4345, 9821385YX, 2010-05-30 00:00:00, NULL
4344, 9821386YX, 2011-05-30 00:00:00, NULL
4343, 9821387YX, 2011-05-30 00:00:00, NULL
4339, 9821388YX, 2012-05-30 00:00:00, NULL
